"The 2009 PSSA Science School Level Proficiency Results",,,,,,,,,,,,
"(Full Academic Year; No PASA Scores) Groups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,
,,,,,,,,,,,,
"AUN","School #","County","IU Number","District","School","Grade","Group","Number Scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science"
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"White",137,14.6,27.7,46.0,11.7
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"Hispanic",10,0.0,10.0,30.0,60.0
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"IEP",15,0.0,0.0,40.0,60.0
112011103,"000000003","Adams",12,"BERMUDIAN SPRINGS SD","BERMUDIAN SPRINGS HS",11,"Economically Disadvantaged",18,5.6,11.1,44.4,38.9
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",4,"All students",281,42.3,44.1,10.0,3.6
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",4,"Male",137,42.3,48.2,8.0,1.5
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",4,"Female",144,42.4,40.3,11.8,5.6
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",4,"White",230,47.4,42.6,7.0,3.0
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",4,"Hispanic",44,20.5,47.7,25.0,6.8
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",4,"IEP",29,24.1,24.1,34.5,17.2
112011603,"000007822","Adams",12,"CONEWAGO VALLEY SD","CONEWAGO VALLEY INTRMD SCH",4,"Economically Disadvantaged",82,25.6,47.6,23.2,3.7
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"All students",308,27.6,36.4,17.2,18.8
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"Male",138,34.1,34.8,15.2,15.9
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"Female",170,22.4,37.6,18.8,21.2
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"White",272,30.1,37.1,15.8,16.9
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"Hispanic",25,4.0,36.0,36.0,24.0
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"IEP",41,2.4,17.1,14.6,65.9
112011603,"000006898","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD MS",8,"Economically Disadvantaged",76,13.2,32.9,21.1,32.9
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"All students",299,16.1,19.4,43.8,20.7
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"Male",156,17.9,19.2,43.6,19.2
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"Female",143,14.0,19.6,44.1,22.4
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"White",259,16.6,19.7,45.6,18.1
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"Hispanic",32,6.3,18.8,31.3,43.8
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"IEP",37,2.7,0.0,27.0,70.3
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"Economically Disadvantaged",52,7.7,21.2,40.4,30.8
112013054,"000006270","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA EL SCH",4,"All students",80,41.3,41.3,12.5,5.0
112013054,"000006270","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA EL SCH",4,"Male",44,40.9,38.6,11.4,9.1
112013054,"000006270","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA EL SCH",4,"Female",36,41.7,44.4,13.9,0.0
112013054,"000006270","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA EL SCH",4,"White",76,42.1,40.8,11.8,5.3
112013054,"000006270","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA EL SCH",4,"Economically Disadvantaged",14,21.4,50.0,21.4,7.1
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"All students",97,24.7,36.1,22.7,16.5
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"Male",41,29.3,34.1,26.8,9.8
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"Female",56,21.4,37.5,19.6,21.4
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"White",94,24.5,37.2,21.3,17.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"Economically Disadvantaged",16,18.8,18.8,31.3,31.3
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"All students",86,15.1,17.4,55.8,11.6
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"Male",40,20.0,22.5,50.0,7.5
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"Female",46,10.9,13.0,60.9,15.2
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"White",83,15.7,18.1,55.4,10.8
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"IEP",10,10.0,0.0,30.0,60.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",4,"All students",199,43.7,46.7,8.0,1.5
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",4,"Male",101,46.5,43.6,7.9,2.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",4,"Female",98,40.8,50.0,8.2,1.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",4,"White",166,47.6,44.0,7.8,0.6
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",4,"Black",10,20.0,50.0,20.0,10.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",4,"Hispanic",19,21.1,68.4,5.3,5.3
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",4,"IEP",25,20.0,32.0,36.0,12.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",4,"Economically Disadvantaged",64,26.6,57.8,12.5,3.1
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"All students",226,22.6,36.3,22.1,19.0
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Male",106,22.6,37.7,22.6,17.0
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Female",120,22.5,35.0,21.7,20.8
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"White",185,24.3,38.4,22.2,15.1
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Black",16,6.3,12.5,25.0,56.3
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Hispanic",20,10.0,40.0,20.0,30.0
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"IEP",22,0.0,4.5,22.7,72.7
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Economically Disadvantaged",81,8.6,34.6,27.2,29.6
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"All students",247,15.8,29.6,39.3,15.4
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Male",128,17.2,32.0,35.9,14.8
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Female",119,14.3,26.9,42.9,16.0
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"White",215,17.2,33.5,37.2,12.1
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Black",13,0.0,7.7,46.2,46.2
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Hispanic",15,0.0,0.0,60.0,40.0
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"IEP",33,0.0,12.1,24.2,63.6
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Economically Disadvantaged",56,5.4,12.5,53.6,28.6
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",4,"All students",171,33.9,52.6,9.4,4.1
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",4,"Male",82,35.4,48.8,9.8,6.1
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",4,"Female",89,32.6,56.2,9.0,2.2
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",4,"White",159,34.0,54.1,8.8,3.1
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",4,"IEP",24,20.8,54.2,12.5,12.5
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",4,"Economically Disadvantaged",40,20.0,60.0,15.0,5.0
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"All students",172,21.5,44.2,19.8,14.5
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"Male",92,25.0,43.5,19.6,12.0
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"Female",80,17.5,45.0,20.0,17.5
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"White",161,21.1,44.1,19.3,15.5
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"IEP",15,0.0,6.7,13.3,80.0
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"Economically Disadvantaged",45,20.0,31.1,24.4,24.4
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"All students",179,18.4,30.7,40.2,10.6
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"Male",92,19.6,32.6,38.0,9.8
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"Female",87,17.2,28.7,42.5,11.5
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"White",171,18.7,30.4,40.4,10.5
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"IEP",27,0.0,11.1,55.6,33.3
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"Economically Disadvantaged",36,8.3,27.8,38.9,25.0
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",4,"All students",52,51.9,34.6,7.7,5.8
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",4,"Male",28,53.6,32.1,7.1,7.1
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",4,"Female",24,50.0,37.5,8.3,4.2
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",4,"White",44,59.1,27.3,6.8,6.8
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",4,"Economically Disadvantaged",20,40.0,45.0,5.0,10.0
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",4,"All students",66,34.8,48.5,13.6,3.0
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",4,"Male",36,36.1,44.4,16.7,2.8
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",4,"Female",30,33.3,53.3,10.0,3.3
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",4,"White",51,39.2,45.1,15.7,0.0
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",4,"Hispanic",13,23.1,53.8,7.7,15.4
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",4,"IEP",12,16.7,50.0,25.0,8.3
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",4,"Economically Disadvantaged",30,20.0,56.7,20.0,3.3
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"All students",125,21.6,44.8,18.4,15.2
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"Male",60,21.7,43.3,21.7,13.3
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"Female",65,21.5,46.2,15.4,16.9
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"White",98,23.5,52.0,16.3,8.2
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"Hispanic",22,9.1,18.2,27.3,45.5
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"IEP",18,0.0,33.3,27.8,38.9
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"Economically Disadvantaged",48,12.5,33.3,25.0,29.2
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"All students",138,13.8,27.5,43.5,15.2
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"Male",74,16.2,27.0,37.8,18.9
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"Female",64,10.9,28.1,50.0,10.9
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"White",109,17.4,29.4,45.0,8.3
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"Hispanic",24,0.0,25.0,33.3,41.7
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"IEP",21,0.0,0.0,38.1,61.9
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"Economically Disadvantaged",43,2.3,25.6,41.9,30.2
102020003,"000007846","Allegheny",2,"ACADEMY CHARTER SCHOOL","ACADEMY CHARTER SCHOOL",11,"All students",34,0.0,0.0,26.5,73.5
102020003,"000007846","Allegheny",2,"ACADEMY CHARTER SCHOOL","ACADEMY CHARTER SCHOOL",11,"Male",26,0.0,0.0,23.1,76.9
102020003,"000007846","Allegheny",2,"ACADEMY CHARTER SCHOOL","ACADEMY CHARTER SCHOOL",11,"Black",32,0.0,0.0,28.1,71.9
102020003,"000007846","Allegheny",2,"ACADEMY CHARTER SCHOOL","ACADEMY CHARTER SCHOOL",11,"Economically Disadvantaged",28,0.0,0.0,32.1,67.9
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",4,"All students",79,51.9,38.0,10.1,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",4,"Male",43,53.5,37.2,9.3,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",4,"Female",36,50.0,38.9,11.1,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",4,"White",75,53.3,38.7,8.0,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",4,"IEP",11,9.1,54.5,36.4,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",4,"Economically Disadvantaged",22,18.2,63.6,18.2,0.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"All students",97,20.6,39.2,14.4,25.8
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"Male",50,26.0,42.0,14.0,18.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"Female",47,14.9,36.2,14.9,34.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"White",97,20.6,39.2,14.4,25.8
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"Economically Disadvantaged",35,8.6,37.1,14.3,40.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"All students",108,16.7,17.6,49.1,16.7
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"Male",41,22.0,19.5,43.9,14.6
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"Female",67,13.4,16.4,52.2,17.9
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"White",106,16.0,17.9,50.0,16.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"IEP",15,6.7,0.0,20.0,73.3
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"Economically Disadvantaged",26,3.8,15.4,46.2,34.6
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",4,"All students",118,55.1,39.8,4.2,0.8
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",4,"Male",62,61.3,32.3,4.8,1.6
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",4,"Female",56,48.2,48.2,3.6,0.0
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",4,"White",112,57.1,38.4,3.6,0.9
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",4,"IEP",16,12.5,62.5,18.8,6.3
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"All students",95,37.9,38.9,17.9,5.3
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"Male",52,46.2,38.5,9.6,5.8
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"Female",43,27.9,39.5,27.9,4.7
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"White",93,37.6,38.7,18.3,5.4
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"IEP",13,7.7,46.2,23.1,23.1
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"All students",84,15.5,29.8,44.0,10.7
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"Male",47,19.1,23.4,44.7,12.8
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"Female",37,10.8,37.8,43.2,8.1
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"White",82,15.9,29.3,43.9,11.0
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"IEP",13,0.0,7.7,53.8,38.5
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"Economically Disadvantaged",11,9.1,27.3,63.6,0.0
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",4,"All students",106,27.4,50.9,11.3,10.4
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",4,"Male",52,26.9,48.1,9.6,15.4
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",4,"Female",54,27.8,53.7,13.0,5.6
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",4,"White",95,28.4,55.8,11.6,4.2
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",4,"IEP",11,18.2,27.3,27.3,27.3
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",4,"Economically Disadvantaged",36,19.4,44.4,13.9,22.2
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",4,"All students",160,44.4,48.8,6.3,0.6
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",4,"Male",92,51.1,41.3,6.5,1.1
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",4,"Female",68,35.3,58.8,5.9,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",4,"White",134,47.8,47.8,4.5,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",4,"Black",14,28.6,42.9,21.4,7.1
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",4,"IEP",22,36.4,54.5,9.1,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",4,"Economically Disadvantaged",49,36.7,55.1,6.1,2.0
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"All students",308,17.9,37.7,22.1,22.4
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"Male",164,20.7,34.1,19.5,25.6
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"Female",144,14.6,41.7,25.0,18.8
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"White",280,19.3,39.3,21.8,19.6
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"Black",20,0.0,20.0,20.0,60.0
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"IEP",36,2.8,5.6,11.1,80.6
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"Economically Disadvantaged",71,12.7,18.3,25.4,43.7
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"All students",356,16.6,23.6,43.0,16.9
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"Male",175,19.4,21.7,41.1,17.7
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"Female",180,13.9,25.6,45.0,15.6
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"White",327,17.1,25.4,42.2,15.3
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"Black",21,0.0,0.0,61.9,38.1
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"IEP",36,0.0,0.0,27.8,72.2
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"Economically Disadvantaged",60,3.3,11.7,48.3,36.7
103021252,"000004802","Allegheny",3,"BETHEL PARK SD","ABRAHAM LINCOLN EL S",4,"All students",79,35.4,51.9,11.4,1.3
103021252,"000004802","Allegheny",3,"BETHEL PARK SD","ABRAHAM LINCOLN EL S",4,"Male",40,35.0,52.5,12.5,0.0
103021252,"000004802","Allegheny",3,"BETHEL PARK SD","ABRAHAM LINCOLN EL S",4,"Female",39,35.9,51.3,10.3,2.6
103021252,"000004802","Allegheny",3,"BETHEL PARK SD","ABRAHAM LINCOLN EL S",4,"White",72,38.9,52.8,6.9,1.4
103021252,"000004802","Allegheny",3,"BETHEL PARK SD","ABRAHAM LINCOLN EL S",4,"IEP",15,20.0,46.7,33.3,0.0
