"The 2009 PSSA Writing School Level Proficiency Results",,,,,,,,,,,,
"(Full Academic Year; No PASA Scores) Groups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,
,,,,,,,,,,,,
"AUN","School #","County","IU Number","District","School","Grade","Group","Number Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"White",265,8.3,66.0,24.2,1.5
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"Hispanic",34,0.0,70.6,17.6,11.8
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"IEP",38,0.0,26.3,57.9,15.8
112011603,"000000017","Adams",12,"CONEWAGO VALLEY SD","NEW OXFORD SHS",11,"Economically Disadvantaged",53,3.8,58.5,34.0,3.8
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"All students",90,8.9,77.8,13.3,0.0
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"Male",40,7.5,75.0,17.5,0.0
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"Female",50,10.0,80.0,10.0,0.0
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"White",87,9.2,77.0,13.8,0.0
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"IEP",10,10.0,70.0,20.0,0.0
112013054,"000006269","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA HS",11,"Economically Disadvantaged",10,10.0,80.0,10.0,0.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",5,"All students",96,2.1,37.5,59.4,1.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",5,"Male",48,2.1,31.3,64.6,2.1
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",5,"Female",48,2.1,43.8,54.2,0.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",5,"White",96,2.1,37.5,59.4,1.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",5,"IEP",10,10.0,20.0,70.0,0.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",5,"Economically Disadvantaged",16,0.0,31.3,68.8,0.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"All students",98,7.1,60.2,31.6,1.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"Male",42,0.0,57.1,42.9,0.0
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"Female",56,12.5,62.5,23.2,1.8
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"White",95,7.4,58.9,32.6,1.1
112013054,"000007322","Adams",12,"FAIRFIELD AREA SD","FAIRFIELD AREA MS",8,"Economically Disadvantaged",16,6.3,56.3,31.3,6.3
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"All students",252,16.7,69.4,12.7,1.2
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Male",131,11.5,67.9,19.1,1.5
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Female",120,22.5,70.8,5.8,0.8
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"White",218,17.4,70.6,11.0,0.9
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Black",13,15.4,69.2,15.4,0.0
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Hispanic",16,6.3,50.0,37.5,6.3
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"IEP",34,0.0,44.1,47.1,8.8
112013753,"000006271","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA HS",11,"Economically Disadvantaged",60,6.7,68.3,21.7,3.3
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"All students",222,14.9,66.7,15.8,2.7
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Male",104,9.6,62.5,24.0,3.8
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Female",118,19.5,70.3,8.5,1.7
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"White",183,14.8,67.8,14.2,3.3
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Black",15,13.3,53.3,33.3,0.0
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Hispanic",19,0.0,84.2,15.8,0.0
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"IEP",20,0.0,30.0,50.0,20.0
112013753,"000000010","Adams",12,"GETTYSBURG AREA SD","GETTYSBURG AREA MS",8,"Economically Disadvantaged",79,8.9,68.4,17.7,5.1
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",5,"All students",227,0.9,48.5,50.7,0.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",5,"Male",111,1.8,37.8,60.4,0.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",5,"Female",116,0.0,58.6,41.4,0.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",5,"White",182,1.1,50.5,48.4,0.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",5,"Black",17,0.0,47.1,52.9,0.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",5,"Hispanic",26,0.0,34.6,65.4,0.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",5,"IEP",28,0.0,10.7,89.3,0.0
112013753,"000007592","Adams",12,"GETTYSBURG AREA SD","LINCOLN EL SCH",5,"Economically Disadvantaged",90,0.0,34.4,65.6,0.0
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",5,"All students",151,1.3,56.3,42.4,0.0
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",5,"Male",71,0.0,39.4,60.6,0.0
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",5,"Female",79,2.5,72.2,25.3,0.0
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",5,"White",131,1.5,53.4,45.0,0.0
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",5,"IEP",17,0.0,17.6,82.4,0.0
112015203,"000007784","Adams",12,"LITTLESTOWN AREA SD","ALLOWAY CREEK INT SCH",5,"Economically Disadvantaged",44,0.0,43.2,56.8,0.0
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"All students",179,7.8,74.3,15.1,2.8
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"Male",92,5.4,66.3,23.9,4.3
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"Female",86,10.5,83.7,4.7,1.2
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"White",169,7.7,74.6,14.8,3.0
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"IEP",25,0.0,32.0,48.0,20.0
112015203,"000000014","Adams",12,"LITTLESTOWN AREA SD","LITTLESTOWN SHS",11,"Economically Disadvantaged",36,5.6,66.7,22.2,5.6
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"All students",173,5.8,69.4,22.5,2.3
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"Male",93,2.2,67.7,25.8,4.3
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"Female",80,10.0,71.3,18.8,0.0
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"White",162,6.2,68.5,22.8,2.5
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"IEP",15,0.0,26.7,66.7,6.7
112015203,"000000013","Adams",12,"LITTLESTOWN AREA SD","MAPLE AVENUE MS",8,"Economically Disadvantaged",46,4.3,65.2,28.3,2.2
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",5,"All students",57,1.8,57.9,40.4,0.0
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",5,"Male",28,3.6,39.3,57.1,0.0
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",5,"Female",29,0.0,75.9,24.1,0.0
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",5,"White",41,2.4,58.5,39.0,0.0
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",5,"Hispanic",13,0.0,53.8,46.2,0.0
112018523,"000000018","Adams",12,"UPPER ADAMS SD","ARENDTSVILLE EL SCH",5,"Economically Disadvantaged",26,0.0,57.7,42.3,0.0
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",5,"All students",60,5.0,63.3,30.0,1.7
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",5,"Male",34,2.9,61.8,35.3,0.0
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",5,"Female",26,7.7,65.4,23.1,3.8
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",5,"White",44,6.8,68.2,25.0,0.0
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",5,"Hispanic",14,0.0,50.0,50.0,0.0
112018523,"000000019","Adams",12,"UPPER ADAMS SD","BENDERSVILLE EL SCH",5,"Economically Disadvantaged",34,5.9,50.0,41.2,2.9
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"All students",142,9.9,76.1,10.6,3.5
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"Male",77,10.4,68.8,14.3,6.5
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"Female",65,9.2,84.6,6.2,0.0
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"White",114,12.3,78.9,6.1,2.6
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"Hispanic",23,0.0,65.2,30.4,4.3
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"IEP",22,0.0,45.5,31.8,22.7
112018523,"000000021","Adams",12,"UPPER ADAMS SD","BIGLERVILLE HS",11,"Economically Disadvantaged",45,11.1,62.2,22.2,4.4
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"All students",125,5.6,66.4,25.6,2.4
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"Male",59,1.7,61.0,32.2,5.1
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"Female",66,9.1,71.2,19.7,0.0
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"White",99,6.1,67.7,23.2,3.0
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"Hispanic",21,0.0,61.9,38.1,0.0
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"IEP",18,0.0,22.2,61.1,16.7
112018523,"000007437","Adams",12,"UPPER ADAMS SD","UPPER ADAMS MS",8,"Economically Disadvantaged",47,4.3,61.7,31.9,2.1
102020003,"000007846","Allegheny",2,"ACADEMY CHARTER SCHOOL","ACADEMY CHARTER SCHOOL",11,"All students",31,0.0,38.7,51.6,9.7
102020003,"000007846","Allegheny",2,"ACADEMY CHARTER SCHOOL","ACADEMY CHARTER SCHOOL",11,"Male",23,0.0,34.8,52.2,13.0
102020003,"000007846","Allegheny",2,"ACADEMY CHARTER SCHOOL","ACADEMY CHARTER SCHOOL",11,"Black",29,0.0,37.9,55.2,6.9
102020003,"000007846","Allegheny",2,"ACADEMY CHARTER SCHOOL","ACADEMY CHARTER SCHOOL",11,"Economically Disadvantaged",25,0.0,44.0,48.0,8.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",5,"All students",84,3.6,51.2,45.2,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",5,"Male",40,0.0,52.5,47.5,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",5,"Female",44,6.8,50.0,43.2,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",5,"White",83,3.6,51.8,44.6,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",5,"IEP",10,0.0,30.0,70.0,0.0
103020603,"000000024","Allegheny",3,"ALLEGHENY VALLEY SD","COLFAX UPPER EL SCH",5,"Economically Disadvantaged",28,3.6,32.1,64.3,0.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"All students",96,14.6,66.7,17.7,1.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"Male",50,10.0,64.0,24.0,2.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"Female",46,19.6,69.6,10.9,0.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"White",96,14.6,66.7,17.7,1.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",8,"Economically Disadvantaged",35,14.3,65.7,20.0,0.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"All students",105,17.1,66.7,15.2,1.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"Male",40,10.0,65.0,22.5,2.5
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"Female",65,21.5,67.7,10.8,0.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"White",103,17.5,66.0,15.5,1.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"IEP",13,0.0,46.2,53.8,0.0
103020603,"000000029","Allegheny",3,"ALLEGHENY VALLEY SD","SPRINGDALE JSHS",11,"Economically Disadvantaged",24,8.3,79.2,12.5,0.0
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",5,"All students",91,11.0,60.4,28.6,0.0
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",5,"Male",50,6.0,58.0,36.0,0.0
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",5,"Female",41,17.1,63.4,19.5,0.0
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",5,"White",83,10.8,61.4,27.7,0.0
103020753,"000000034","Allegheny",3,"AVONWORTH SD","AVONWORTH EL SCH",5,"IEP",16,0.0,43.8,56.3,0.0
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"All students",96,36.5,59.4,4.2,0.0
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"Male",52,28.8,65.4,5.8,0.0
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"Female",44,45.5,52.3,2.3,0.0
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"White",94,36.2,59.6,4.3,0.0
103020753,"000007669","Allegheny",3,"AVONWORTH SD","AVONWORTH MS",8,"IEP",14,14.3,71.4,14.3,0.0
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"All students",85,11.8,70.6,17.6,0.0
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"Male",47,4.3,70.2,25.5,0.0
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"Female",38,21.1,71.1,7.9,0.0
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"White",82,12.2,72.0,15.9,0.0
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"IEP",13,0.0,46.2,53.8,0.0
103020753,"000005199","Allegheny",3,"AVONWORTH SD","AVONWORTH SHS",11,"Economically Disadvantaged",11,9.1,63.6,27.3,0.0
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"All students",368,24.5,67.7,7.3,0.5
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"Male",180,18.3,72.2,8.3,1.1
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"Female",188,30.3,63.3,6.4,0.0
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"White",339,25.7,66.7,7.4,0.3
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"Black",22,0.0,86.4,9.1,4.5
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"IEP",36,0.0,66.7,27.8,5.6
103021102,"000000050","Allegheny",3,"BALDWIN-WHITEHALL SD","BALDWIN SHS",11,"Economically Disadvantaged",69,11.6,71.0,15.9,1.4
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"All students",309,9.1,57.6,28.2,5.2
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"Male",165,7.3,52.7,32.1,7.9
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"Female",144,11.1,63.2,23.6,2.1
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"White",279,9.7,59.1,26.2,5.0
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"Black",21,4.8,38.1,47.6,9.5
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"IEP",36,0.0,11.1,58.3,30.6
103021102,"000006787","Allegheny",3,"BALDWIN-WHITEHALL SD","HARRISON MS",8,"Economically Disadvantaged",72,8.3,33.3,47.2,11.1
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",5,"All students",107,5.6,37.4,55.1,1.9
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",5,"Male",54,3.7,31.5,61.1,3.7
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",5,"Female",53,7.5,43.4,49.1,0.0
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",5,"White",91,6.6,42.9,49.5,1.1
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",5,"Black",10,0.0,0.0,90.0,10.0
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",5,"IEP",12,8.3,8.3,75.0,8.3
103021102,"000005194","Allegheny",3,"BALDWIN-WHITEHALL SD","PAYNTER EL SCH",5,"Economically Disadvantaged",38,0.0,21.1,76.3,2.6
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",5,"All students",160,6.3,61.9,31.9,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",5,"Male",75,1.3,64.0,34.7,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",5,"Female",85,10.6,60.0,29.4,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",5,"White",139,7.2,63.3,29.5,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",5,"Black",15,0.0,40.0,60.0,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",5,"IEP",20,0.0,45.0,55.0,0.0
103021102,"000000048","Allegheny",3,"BALDWIN-WHITEHALL SD","WHITEHALL EL SCH",5,"Economically Disadvantaged",45,0.0,48.9,51.1,0.0
103021252,"000000062","Allegheny",3,"BETHEL PARK SD","BETHEL PARK SHS",11,"All students",437,36.4,61.1,2.3,0.2
103021252,"000000062","Allegheny",3,"BETHEL PARK SD","BETHEL PARK SHS",11,"Male",225,30.7,66.7,2.2,0.4
